Date		Temps		Protocole	IP_Src		IP_Dest		  	Port_src	Port_Dest   Type_App	Taille  num_seq  	ACK		class_src	class_dest  Masque		pri/pub	   Addr_rés
17/01/2017	15:55:11	UDP		122.16.1.40	60.47.3.9		2400		80	    WEB		50	__		__		A		A	    255.0.0.0		Public	   122.0.0.0
18/01/2017	12:22:32	TCP		122.16.1.40	60.47.3.9		5900		80	    WEB		69	40		56		A		A	    255.0.0.0		Public	   122.0.0.0
20/01/2017	18:30:41	TCP		122.16.1.40	60.47.3.9		5600		80	    WEB		66	56		41		A		A	    255.0.0.0		Public	   192.0.0.0
23/01/2017	13:45:41	UDP		192.168.1.47	192.186.1.252		2650		69	    TFTP	79	__		__		C		C	    255.255.255.0	Prive	   192.168.1.0
02/02/2017	17:14:51	UDP		192.168.1.49	192.186.1.252		3550		69	    TFTP	64	__		__		C		C	    255.255.255.0	Prive	   192.168.1.0
09/02/2017	13:34:31	TCP		192.168.1.100	192.186.1.252		6530		80	    WEB		100	45		81		C		C	    255.255.255.0	Prive	   192.168.1.0
16/02/2017	14:56:51	TCP		192.168.1.100	192.186.1.252		5930		80	    WEB		104	81		46		C		C	    255.255.255.0	Prive	   172.33.0.0
19/02/2017	16:49:51	TCP		192.168.1.100	192.168.1.252		1023		23	    TELNET	124	46		82		C		C	    255.255.255.0	Prive	   192.168.1.0
23/02/2017	13:44:41	UDP		172.33.1.100	172.20.0.122		3300		443	    HTTPS	1024	__		__		B		B	    255.255.0.0		Prive	   172.33.0.0
24/02/2017	14:33:31	UDP		192.168.1.99	172.18.1.10		5000		80	    WEB		1000	__		__		C		B	    255.255.255.0	Prive	   192.168.1.0
11/03/2017	17:17:32	UDP		10.168.1.4	172.18.1.56		3220		80	    WEB		1566	__		__		A		B	    255.0.0.0		Prive	   10.0.0.0
14/03/2017	14:45:41	UDP		14.14.1.4	170.30.17.105		5400		23	    TELNET	809	__		__		A		B	    255.0.0.0		public	   14.0.0.0
16/03/2017	22:01:11	UDP		172.31.1.4	172.26.6.67		9390		32	    SKYPE	90	__		__		B		B	    255.255.0.0		Prive	   172.31.0.0
18/03/2017	12:55:31	UDP		192.168.1.4	172.26.91.98		4560		80	    WEB		96	__		__		C		B	    255.255.255.0	Prive	   192.168.1.0
19/03/2017	17:54:10	TCP		192.168.1.4	192.168.1.10		3400		80	    WEB		55	13		23		C		C	    255.255.255.0	Prive	   192.168.1.0
25/03/2017	14:14:14	TCP		10.0.0.7	192.168.1.10		9120		80	    WEB		54	22		54		A		C	    255.255.0.0	    	Prive	   10.0.0.0
27/03/2017      15:15:15    	UDP     	122.12.2.3    	60.47.3.9        	3850      	80          SSH         43      55      	87      	A           	A           255.0.0.0        	public     122.0.0.0
28/03/2017  	21:02:00    	TCP     	192.132.1.34  	172.20.0.1       	4400      	32          FTP         32      77      	89      	C           	B           255.255.255.0    	Prive      192.132.1.0
29/03/2017  	23:11:25    	TCP     	189.11.2.3    	122.40.0.9       	4550      	21          SKYPE       2000    87      	80      	B           	A           255.255.0.0      	Public     189.11.0.0
30/03/2017  	01:22:00    	UDP     	10.0.0.8      	183.15.0.9       	2900      	80          WEB         4300    5       	5       	A           	B           255.0.0.0        	Prive      10.0.0.0
01/04/2017  	00:00:22    	UDP     	192.168.0.2   	10.0.0.1         	8080      	23          SKYPE       1024    65      	56      	C           	A           255.255.255.0    	Public     192.168.0.0
02/04/2017  	03:23:00    	TCP     	156.80.0.44   	192.168.0.3      	2323      	45          FTP         159     8       	11      	B           	C           255.255.0..0     	Prive      156.80.0.0
03/04/2017  	08:22:11    	UDP     	35.16.0.2     	157.87.8.9       	5000      	34          WEB         250     55      	22      	A           	B           255.0.0.0        	Public     35.0.0.0
04/04/2017  	00:22:11    	TCP     	124.43.0.45   	60.44.12.2       	5400      	22          HTTPS       430     34      	22      	B           	A           255.255.0.0      	Prive      124.43.0.0
05/04/2017  	08:00:22    	UDP     	22.43.0.4     	220.32.0.44      	3400      	65          SKYPE       345     12      	80      	A           	C           255.0.0.0        	Public     22.0.0.0
06/04/2017  	21:01:19    	TCP     	172.16.0.3    	192.168.0.44     	8080      	22          SKYPE       79      40      	81      	B           	C           255.255.0.0      	Prive      172.16.0.0
07/04/2017  	12:12:12    	TCP     	210.22.1.34   	18.0.0.1         	4900      	80          FTP         32      34      	67      	C           	A           255.255.255.0    	Public     210.22.1.0
08/04/2017  	14:34:22    	UDP     	32.56.11.11   	10.0.0.1         	2320      	69          WEB         1024    32      	80      	A           	A           255.0.0.0        	Prive      32.0.0.0
09/04/2017  	23:00:11    	TCP     	192.168.1.1   	134.23.0.23      	6700      	43          SKYPE       8080    32      	80      	C           	B           255.255.255.0    	Public     192.168.1.0
10/04/2017  	00:00:09    	TCP     	123.43.0.55   	10.0.22.3        	8080      	32          FTP         80      43      	80      	A           	A           255.0.0.0        	Public     123.0.0.0
11/04/2017  	22:22:22    	UDP     	125.22.0.11   	192.168.0.22     	3400      	23          TELNET      1000    81      	46      	B           	C           255.255.0.0      	Prive      125.22.0.0
12/04/2017  	17:15:01    	UDP     	35.16.0.2     	172.16.0.22      	8080      	32          HTTPS       80      1024    	5       	A           	B           255.0.0.0        	Public     35.0.0.0
13/04/2017  	00:12:22    	TCP     	172.16.0.9    	10.0.0.24        	3400      	45          WEB         76      1000    	6       	B           	A           255.255.0.0      	Public     172.16.0.0
14/04/2017  	23:21:01    	TCP     	192.168.22.1  	34.47.0.26       	8080      	23          TELNET      100     81      	46      	C           	A           255.255.255.0    	Public     192.168.22.0
15/04/2017  	22:02:00    	UDP     	10.21.0.1     	192.1683.1.2     	4500      	80          SKYPE       1024    56      	__      	A           	C           255.0.0.0        	Prive      10.0.0.0
16/04/2017  	00:22:11    	TCP     	192.168.0.1   	172.16.0.9       	3850      	23          FTP         1000    __      	__      	C           	B           255.255.255.0    	Public     192.168.0.0
17/04/2017  	12:00:10    	TCP     	10.0.2.5      	34.22.56.1       	9390      	443         SSH         1566    12     	 	12      	A           	A           255.0.0.0        	Prive      10.0.0.0
18/04/2017  	11:23:01    	TCP     	192.168.23.22 	170.30.16.1      	9120      	8080        SKYPE       96      __      	__      	C           	B           255.255.255.0    	Public     192.168.23.0
19/04/2017  	00:55:22    	UDP     	14.14.0.23    	124.24.5.4       	5400      	80          HTTPS       159     13      	23      	A           	B           255.0.0.0        	Prive      14.0.0.0
20/04/2017  	12:54:01    	UDP     	10.0.0.2      	192.168.0.3      	8080      	23          SSH         23      __      	__      	A           	C           255.0.0.0        	Public     10.0.0.0
21/04/2017  	23:11:00    	TCP     	192.168.0.45  	10.1.2.1         	9390      	32          TELNET      809     77      	89      	C           	A           255.255.255.0    	Public     192.168.0.0
22/04/2017  	13:00:14    	UDP     	14.14.0.11    	170.30.17.10     	5400      	21          SSH         55      __      	__      	A           	B           255.0.0.0        	Prive      14.0.0.0
23/04/2017  	14:14:14    	UDP     	156.45.21.9   	192.168.0.43     	8080      	45          FTP         54      22      	87      	B           	C           255.255.0.0      	Public     156.45.0.0
24/04/2017  	22:01:00    	TCP     	189.11.32.2   	122.40.0.5       	4550      	21          SSH         43      55      	89      	B           	A           255.255.0.0      	Public     198.11.0.0
25/04/2017  	22:30:02    	TCP     	210.22.1.44   	10.0.2.3         	4900      	80          FTP         32      34      	64      	C           	A           255.255.255.0   	Prive      210.22.1.0
26/04/2017  	23:00:11    	UDP     	10.21.0.2     	192.168.33.56    	8080      	23          SKYPE       1024    22      	67      	A           	C           255.0.0.0       	Public     10.0.0.0
27/04/2017  	00:12:12    	UDP     	192.168.1.44  	34.17.0.3        	2900      	45          TELNET      2000    5       	5       	C           	B           255.255.255.0    	Prive      192.168.1.0
28/04/2017  	22:01:55    	TCP     	111.160.11.22 	10.0.22.33       	3400      	23          SKYPE       76      4       	4       	A           	A           255.0.0.0        	Public     111.0.0.0
29/04/2017 	03:33:43    	UDP     	10.0.0.2      	154.16.0.3       	8080      	32          SKYPE       54      34      	67      	A           	B           255.0.0.0        	Prive      10.0.0.0
30/04/2017 	22:22:22    	TCP     	192.168.33.23 	35.16.2.55       	2323      	45          FTP         1024    __      	__      	C           	A           255.255.255.0    	Prive      192.168.33.0
01/05/2017  	23:45:45    	TCP     	111.16.20.20  	14.14.3.22       	3200      	22          WEB         79      12      	12      	A           	A           255.0.0.0        	Public     111.0.0.0
02/05/2017  	00:00:00    	UDP     	172.16.1.98   	24.17.22.1       	5000      	43          HTTPS       32      40      	81      	B           	A           255.255.0.0      	Prive      172.16.0.0
03/05/2017  	23:45:50    	UDP    		14.14.87.4    	210.11.23.55     	8080      	80          SSH         1024    5       	5       	A           	C           255.0.0.0        	Public     14.0.0.0
04/05/2017  	12:12:01    	TCP     	210.11.34.22  	172.16.11.65     	8670      	21          HTTPS       64      44      	66      	C           	B           255.255.255.0    	Public     210.11.34.0
05/05/2017  	21:45:55    	UDP     	10.2.45.1     	192.168.0.34     	3830		32	    SKYPE	159	__		__		A		C	    255.0.0.0	     	Prive	   10.0.0.0
06/05/2017  	03:22:19    	TCP     	172.16.98.22  	14.14.23.3       	7580		80	    WEB		140	9		6		B		A	    255.255.0.0	     	Prive	   172.16.0.0
07/05/2017  	23:23:23    	UDP     	125.22.33.2   	34.47.8.33       	3400      	23          TELNET      1000    81      	46      	B           	A           255.255.0.0      	public     125.22.0.0
08/05/2017  	13:50:00    	UDP     	24.17.23.87   	10.0.23.8        	9120		80	    WEB		54	22		54		A		A	    255.0.0.0	     	Public	   24.0.0.0
09/05/2017  	14:14:14    	UDP     	111.16.23.4   	34.17.0.8        	4560		80	    WEB		159	12		8		A		A	    255.0.0.0	     	Public	   111.0.0.0
10/05/2017  	00:22:34    	TCP     	172.16.12.2   	192.168.0.45     	2323      	80          SSH         1000    __      	__      	B       	C           255.255.0.0      	Prive      172.16.0.0
11/05/2017  	08:56:50    	TCP     	10.0.22.32    	34.16.2.3        	8670		80	    WEB		64	44		66		A		A	    255.0.0.0	     	Prive	   10.0.0.0
12/05/2017  	01:03:50    	TCP     	210.11.4.33   	35.47.5.11       	4900      	80          FTP         32      34      	64      	C               A           255.255.255.0    	Public     210.11.4.0
13/05/2017  	10:20:00    	UDP     	123.43.43.3   	24.17.0.8        	2200		80          WEB		64	55		40		A		A	    255.0.0.0	     	Public	   123.0.0.0
14/05/2017  	13:14:09    	TCP     	134.23.4.23   	172.16.9.8       	2080		21	    FTP		543	8		2		B		B	    255.255.0.0	     	Public	   134.23.0.0
15/05/2017  	19:00:50    	UDP     	189.11.9.2    	210.11.45.2      	2500		80	    WEB		159	11	        11		B		C	    255.255.0.0	     	Public     189.11.0.0
16/05/2017  	23:50:51    	TCP     	111.23.54.6   	10.23.8.11       	1580		32	    SKYPE	140	50		12		A		A	    255.0.0.0	     	Public	   111.0.0.0
17/05/2017  	18:30:01    	TCP     	125.11.32.1   	35.16.2.3        	4900      	22	    SSH		250	 3		34		A		A	    255.0.0.0	     	Public	   125.0.0.0
18/05/2017  	09:00:02    	UDP     	10.22.34.9    	111.2.34.5       	3830		32	    SKYPE	159	__		__		A		A	    255.0.0.0	     	Prive	   10.0.0.0
19/05/2017  	10:30:50    	TCP     	192.168.9.34  	34.47.8.12       	4400      	32          FTP         32      77      	89      	C       	A           255.255.255.0    	Prive      192.168.1.0
20/05/2017  	22:22:22    	UDP     	185.80.50.4   	188.10.34.2      	4550      	21          SKYPE       2000    87      	80      	B               B           255.255.0.0      	Public     185.80.0.0
21/05/2017  	18:09:20    	UDP     	24.17.23.33   	14.14.34.2       	5000      	34          WEB         250     55      	22      	A               A           255.0.0.0        	Public     24.0.0.0
22/05/2017  	09:25:50    	UDP     	188.10.32.44  	10.23.8.7        	2080		21	    FTP		543	 8		2		B		A	    255.255.0.0	     	Public	   188.10.0.0
23/05/2017  	12:33:54    	TCP     	210.11.29.4   	34.17.89.34      	8670    	21          HTTPS       64      44      	66      	C               A           255.255.255.0    	Public     210.11.29.0
24/05/2017  	00:23:59    	UDP     	122.12.23.35  	60.47.30.9       	2400		80	    WEB		50	__		__		A		A	    255.0.0.0	     	Public	   122.0.0.0
25/05/2017  	19:00:00    	TCP     	192.132.1.20  	172.30.22.11     	3550		69	    TFTP	64	__		__		C		B	    255.255.255.0    	Prive	   192.132.1.0
26/05/2017  	23:01:50    	UDP     	154.30.10.21	110.70.60.34     	8080    	45          FTP         54      22      	87      	B               A           255.255.0.0      	Public     156.30.0.0
27/05/2017  	01:01:01    	UDP     	122.16.11.4	60.47.23.9       	2400		23	    TELNET	50	__		__		A		A	    255.0.0.0	     	Public	   122.0.0.0
28/05/2017  	22:50:50    	TCP     	188.17.11.1	82.16.0.2        	4550      	21          SSH         43      55      	89      	B               A           255.255.0.0      	public     188.17.0.0
29/05/2017  	03:23:55    	UDP     	111.11.25.2   	34.17.34.8       	1580		32	    SKYPE	140	50		12		A		A	    255.0.0.0	     	Public	   111.0.0.0
30/05/2017  	19:02:01    	TCP     	192.168.11.2	192.186.23.252   	2650		69	    TFTP	79	12		 5 		C		C	    255.255.255.0    	Prive	   192.168.11.0
31/05/2017  	00:45:50    	TCP     	165.16.23.1	112.16.3.2       	8080      	45  	    FTP         54      22      	87      	B               A           255.255.0.0      	Public     165.16.0.0
16/05/2017  	23:02:32    	UDP    	10.0.0.5	10.0.0.6       	50      	60  	    WEB         5000      05      	06      	A               A           255.0.0.0	     	public	   10.0.0.0
16/05/2017  	23:04:20    	UDP    	172.16.0.5	172.16.0.6       	8080      	80  	    DNS         3080      16      	05      	A               A           255.255.0.0	     	public	   172.16.0.0
21/05/2017  	00:32:46    	UDP    	193.169.1.10	193.169.1.20       	10      	20  	    DNS         2048      11      	2      	C               C           255.255.255.0	     	public	   193.168.1.0
19/06/2017  	19:15:32    	TCP    	192.168.100.12	192.169.200.12       	53      	53  	    DNS         4096      12      	13      	C               C           255.255.255.0	     	public	   192.168.100.0
19/06/2017  	19:20:17    	TCP    	192.166.1.1	193.166.1.1       	53      	53  	    DNS         4096      12      	13      	C               C           255.255.255.0	     	public	   192.166.1.0
21/06/2017  	00:53:39    	UDP    	194.194.1.1	195.195.1.1       	94      	95  	    WEB         8096      __      	__      	C               C           255.255.255.0	     	public	   194.194.1.0
22/06/2017  	14:31:38    	TCP    	10.10.10.10	20.20.20.20       	10      	20  	    WEB         10000      10      	20      	A               A           255.0.0.0	     	privee	   10.0.0.0

22/06/2017  	14:35:33    	UDP    	201.100.1.1	199.100.2.2       	10      	20  	    TFTP         5000      __      	__      	C               C           255.255.255.0	     	public	   201.100.1.0
